cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
95522,"Da Costa, Deborah",Applicant," $20,465 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2019,Impact of Work-Family Conflict and Duration of Parental Leave on Fathers' Adjustment During Early Parenthood,fathers; work family conflict; parental leave; psychological adjustment; parenting,Insight Grants,Subventions Savoir,"Children, Family","Enfants, famille",Social Work,Travail social,Gender Issues,Questions touchant le genre
95524,"Nitani, Miwako",Applicant," $6,325 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2019,"Drawing upon the Entrepreneurial Ecosystem: SMEs, Capital Suppliers, and Public Policy",entrepreneurial growth; small business lending; cooperative banks; credit guarantee scheme,Insight Grants,Subventions Savoir,"Finance, Banking, Insurance","Finances, assurances, systèmes bancaires","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Innovation, Industrial and Technological Development",Innovation et développement industriel et technologique
95530,"Porth, Lysa M.",Applicant," $16,334 ",2019,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,2019,Machine Learning-Based Methods Using Satellite-Derived Remote Sensing Data for Risk Management and Insurance in the Presence of Systemic Weather Risk,machine learning; remote sensing; index insurance; predictive analytics,Insight Grants,Subventions Savoir,"Finance, Banking, Insurance","Finances, assurances, systèmes bancaires","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Agriculture,Agriculture
95533,"Singh, Parbudyal",Applicant," $8,623 ",2019,York University,Université York,ON,Ontario,Ontario,2019,Green Human Resource Management and Firm Performance: A Mixed Methods Study,green human resource management; environmental management; firm performance,Insight Grants,Subventions Savoir,Personnel Management,Gestion du personnel,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
95534,"Fiset, Daniel",Applicant," $6,682 ",2019,Université du Québec en Outaouais,Université du Québec en Outaouais,QC,Quebec,Québec,2019,"Impact de l'ethnie, du racisme et de la déshumanisation sur les mécanismes visuels et cérébraux impliqués dans le traitement des visages",ethnie; perception des visages; perception de la douleur; vision; électroencéphalographie; racisme; déshumanisation,Insight Grants,Subventions Savoir,Social Psychology,Psychologie sociale,Psychology,Psychologie,Multiculturalism and ethnic studies,Multiculturalisme et études ethniques
95535,"Demers, Maurice",Applicant," $3,716 ",2019,Université de Sherbrooke,Université de Sherbrooke,QC,Quebec,Québec,2019,Le Centre interculturel de documentation de Cuernavaca (CIDOC) et la promotion des droits de la personne : son influence sur les missionnaires québécois et les groupes humanitaires de Cuernavaca,missionnaires; développement; coopératives; pauvreté; violence; dictatures; indignation; militance; droits humains; théologie de la libération; église catholique,Insight Grants,Subventions Savoir,Social History,Histoire sociale,History,Histoire,Law and Justice,Droit et justice
95536,"Idemudia, Uwafiokun",Applicant," $11,114 ",2019,York University,Université York,ON,Ontario,Ontario,2019,Business and Sustainable Development: A Comparative Analysis of Corporate Peacebuilding Strategies,corporate social responsibility; conflict; peace; sustianable development; non-makert strategies; extractive industries; partnerships,Insight Grants,Subventions Savoir,Business Ethics,Déontologie des affaires,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Violence,Violence
95538,"Pena, Francisco",Applicant," $9,173 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2019,The Confluence of Religious Cultures in Medieval Historiography: A Digital Humanities Project,Religious studies-Medieval Iberia; interreligious exegesis; Medieval historiography; Bible and classical mythology; origins of Medieval vernacular fiction; interreligious exegesis; Medieval Spanish-translation; digital humanities-Medieval studies,Insight Grants,Subventions Savoir,Mediaeval Literature,Littérature médiévale,Mediaeval Studies,Études médiévales,Arts and culture,Beaux-arts et culture
95539,"Archambault, Isabelle",Applicant," $18,559 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2019,The adaptation of newly arrived immigrant youth: The contribution of life circumstances pre- and post-migration,newly arrived immigrant youth; adaptation; life circumstances; stressors; sources of support; welcome classroom; regular classroom,Insight Grants,Subventions Savoir,Education,Éducation,Education,Éducation,Education,Éducation
95541,"Mullally, Sasha",Applicant," $4,953 ",2019,University of New Brunswick,University of New Brunswick,NB,New Brunswick,Nouveau-Brunswick,2019,"Therapeutic Craft, Productive Citizenship, and the Origins of Occupational Therapy, 1903-1923",history; history of medicine; craft history; United States,Insight Grants,Subventions Savoir,History of Medicine,Histoire de la médecine,History,Histoire,Health,Santé
