cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
57999,Dialogue: Canadian Philosophical Review,General Support," $58,800 ",2019,The Canadian Philosophical Association,L'Association canadienne de philosophie,ON,Ontario,Ontario,2018,Dialogue. Canadian Philosophical Review / Dialogue. Revue canadienne de philosophie,philosophie; éthique; philosophie politique; épistémologie; histoire de la philosophie,Aid to Scholarly Journals,Aide aux revues savantes,Philosophy,Philosophie,Philosophy,Philosophie,Not Subject to Research Classification,Sans objet
96152,Papers in Political Economy,General Support," $21,000 ",2019,Télé-université,Télé-université,QC,Quebec,Québec,2018,Papers in Political Economy / Interventions économiques,économie politique; sociologie économique; grands économistes; pensée économique hétérodoxe; travail; emploi; mondialisation,Aid to Scholarly Journals,Aide aux revues savantes,Labour and Demographic Economics,Économie du travail et démographie,Economics,Science économique,Globalization,Mondialisation
96154,Manitoba Law Journal,General Support," $30,000 ",2019,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,2018,The Manitoba Law Journal,law; Manitoba; legislation; public policy; provincial politics; regulation; criminology,Aid to Scholarly Journals,Aide aux revues savantes,Law,Droit,Law,Droit,Law and Justice,Droit et justice
96155,Science et Esprit,General Support," $31,050 ",2019,Dominican University College,Collège universitaire dominicain,ON,Ontario,Ontario,2018,Science et Esprit,évolution culturelle; questionnements et vécu actuels; implications et éclairages philosophiques et théologique,Aid to Scholarly Journals,Aide aux revues savantes,Philosophy,Philosophie,Philosophy,Philosophie,Not Subject to Research Classification,Sans objet
96156,Canadian Journal of Applied Linguistics,General Support," $17,600 ",2019,Carleton University,Carleton University,ON,Ontario,Ontario,2018,Canadian Journal of Applied Linguistics / Revue canadienne de linguistique appliquée,applied linguistics; second; foreign and additional languages; bilingualism and second language learning; educational linguistics,Aid to Scholarly Journals,Aide aux revues savantes,Applied Linguistics,Linguistique appliquée,Linguistics,Linguistique,Education,Éducation
96157,Canadian Journal of Learning and Technology,General Support," $20,750 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2018,Canadian Journal of Learning and Technology / La revue canadienne de l'apprentissage et de la technologie,teaching; learning; educational technology; instructional design; learning theory; cognition; computer applications; online learning,Aid to Scholarly Journals,Aide aux revues savantes,Educational Technology (Media),Technologie éducative (médias),Education,Éducation,Education,Éducation
96158,Canadian Journal of Communication,General Support," $27,200 ",2019,Canadian Journal of Communication,Canadian Journal of Communication,BC,British Columbia,Colombie-Britannique,2018,Canadian Journal of Communication,quantitative and qualitative media studies; cultural studies; journalism studies; communication theory; communication practices,Aid to Scholarly Journals,Aide aux revues savantes,Communications and Media Studies,Communications et études des médias,Communications and Media Studies,Communications et études des médias,Communication,Communications
96159,Journal of Rural and Community Development,General Support," $22,050 ",2019,Brandon University,Brandon University,MB,Manitoba,Manitoba,2018,Journal of Rural and Community Development,economic development; community case study; program evaluation; rural health; governance; resource management and development; rural restructuring; service delivery,Aid to Scholarly Journals,Aide aux revues savantes,Community Development,Développement communautaire,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Economic and Regional Development,Développement économique et régional
96160,Revue d'histoire de l'Amérique française,General Support," $17,600 ",2019,Université de Sherbrooke,Université de Sherbrooke,QC,Quebec,Québec,2018,Revue d'histoire de l'Amérique française,Amérique française; généraliste; histoire; XVIe-XXIe siècles,Aid to Scholarly Journals,Aide aux revues savantes,History,Histoire,History,Histoire,Not Subject to Research Classification,Sans objet
96161,Revue Recherches féministes,General Support," $34,140 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Recherches féministes,rapports sociaux de sexe et de genre; condition féminine; changement social; intersectionnalité; représentations,Aid to Scholarly Journals,Aide aux revues savantes,Women's Studies,Études sur les femmes,Interdisciplinary Studies,Études pluridisciplinaires,Women,Femmes
96163,Acadiensis: Journal of the History of the Atlantic Region,General Support," $27,418 ",2019,University of New Brunswick,University of New Brunswick,NB,New Brunswick,Nouveau-Brunswick,2018,Acadiensis,Acadia; Atlantic world; Indigenous history; Newfoundland; New Brunswick; Nova Scotia; Prince Edward Island; regional development; colonial history; historiography; pre-confederation history,Aid to Scholarly Journals,Aide aux revues savantes,Social History,Histoire sociale,History,Histoire,Economic and Regional Development,Développement économique et régional
96164,Revue générale de droit,General Support," $31,893 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2018,Revue générale de droit,recherche fondamentale; sciences juridiques; interdisciplinarité; diffusion accrue du savoir; rayonnement élargi de la revue; processus d'évaluation anonyme rigoureux; formation des futurs chercheurs (étudiants),Aid to Scholarly Journals,Aide aux revues savantes,Public Law,Droit public,Law,Droit,Law and Justice,Droit et justice
96165,Canadian Journal of Linguistics,General Support," $29,400 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,Canadian Journal of Linguistics / Revue canadienne de linguistique,linguistic theory; linguistic description of natural languages; phonetics; phonology; morphology; syntax; semantics; historical linguistics; sociolinguistics; psycholinguistics; L2 and L2 acquisition; other areas of interest to linguists,Aid to Scholarly Journals,Aide aux revues savantes,Linguistics,Linguistique,Linguistics,Linguistique,Indigenous peoples,Populations autochtones
96166,BC Studies: The British Columbian Quarterly,General Support," $26,100 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,BC Studies: The British Columbian Quarterly,anthropology; archaeology; cultural studies; economics; environmental studies; ethnography; First Nations; gender studies; geography; history; historical geography; political science; literature; sociology; women's studies,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Not Subject to Research Classification,Sans objet
96167,Philosophiques,General Support," $15,200 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Philosophiques,toutes les disciplines que couvre la philosophie,Aid to Scholarly Journals,Aide aux revues savantes,Philosophy,Philosophie,Philosophy,Philosophie,Not Subject to Research Classification,Sans objet
96168,Journal of the Motherhood Initiative,General Support," $32,500 ",2019,York University,Université York,ON,Ontario,Ontario,2018,Journal of the Motherhood Initiative,mothering; motherhood; feminism; women's studies; gender; family; reproduction; parenting,Aid to Scholarly Journals,Aide aux revues savantes,Women's Studies,Études sur les femmes,Interdisciplinary Studies,Études pluridisciplinaires,Women,Femmes
96169,Les Cahiers de droit,General Support," $33,750 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Les Cahiers de droit,droit civil; droit privé; droit international; droit économique; droits et libertés de la personne; droit du travail; droit pénal; droit de l'environnement; théorie du droit; histoire du droit; droit comparé; gouvernance; institutions; justice,Aid to Scholarly Journals,Aide aux revues savantes,Civil Law,Droit civil,Law,Droit,Law and Justice,Droit et justice
96170,Canadian Literature,General Support," $35,000 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Canadian Literature: A Quarterly of Criticism and Review / Littérature canadienne,literature; Canadian (English); literature; Canadian (French); literature; Canadian--history and criticism; book reviews; culture; Canadian; multiculturalism; literary theory; poetry; theatre; humanities; arts; fiction; criticism; Indigenous literature,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, English Canadian",Littérature canadienne-anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96171,Scholarly and Research Communication,General Support," $17,600 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2018,Scholarly and Research Communication,scholarly publishing; research publishing; scholarly journals; journal publishing; open access; digital publishing; publishing; scholarly journals; knowledge transfer; journal usage analytics; digital humanities,Aid to Scholarly Journals,Aide aux revues savantes,Book Industries and Trade,Industrie du livre,Library and Information Science,Bibliothéconomie et science de l'information,Communication,Communications
96172,Historical Studies in Education,General Support," $11,585 ",2019,The University of British Columbia,The University of British Columbia,BC,British Columbia,Colombie-Britannique,2018,Historical Studies in Education / Revue d'histoire de l'éducation,history; schooling; education; children and youth; policy; post-secondary education,Aid to Scholarly Journals,Aide aux revues savantes,History of Education,Histoire de l'éducation,History,Histoire,Education,Éducation
96173,Canadian Journal of Law and Society,General Support," $29,700 ",2019,Concordia University,Université Concordia,QC,Quebec,Québec,2018,Canadian Journal of Law and Society / Revue Canadienne de droit et societe,legal pluralism; Aboriginal law; sociolegal studies; Charter of Rights; legal equality; legal inequality; legal theory; legal geography; legal anthropology; legal history; sociology of law; criminology; crime and justice,Aid to Scholarly Journals,Aide aux revues savantes,Law,Droit,Law,Droit,Law and Justice,Droit et justice
96174,Studies in Canadian Literature,General Support," $32,000 ",2019,University of New Brunswick,University of New Brunswick,NB,New Brunswick,Nouveau-Brunswick,2018,Studies in Canadian Literature / Études en littérature canadienne,literature; literary criticism and theory; fiction; poetry; drama; English-Canadian literature; French-Canadian literature; bilingual; author interviews; Indigenous literatures; cultural studies,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, English Canadian - Criticism",Littérature canadienne-anglaise - Critique littéraire,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96176,Review of Economic Analysis,General Support," $21,000 ",2019,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,2018,Review of Economic Analysis,applied and theoretical economics; finance and related fields,Aid to Scholarly Journals,Aide aux revues savantes,Economics,Science économique,Economics,Science économique,Economic and Regional Development,Développement économique et régional
96177,Journal of Military and Strategic Studies,General Support," $29,400 ",2019,University of Calgary,University of Calgary,AB,Alberta,Alberta,2018,Journal of Military and Strategic Studies,strategic studies; military history; Canadian defence policy; Canadian foreign policy; international relations; international security; political science; history; interdisciplinary,Aid to Scholarly Journals,Aide aux revues savantes,International Relations,Relations internationales,Political Science,Sciences politiques,Violence,Violence
96178,Canadian Journal of Program Evaluation,General Support," $30,000 ",2019,Canadian Evaluation Society,Société canadienne d'évaluation,ON,Ontario,Ontario,2018,Canadian Journal of Program Evaluation / La Revue canadienne d'évaluation de programme,evaluation; research methods; program evaluation theory; program evaluation practice; public organizations; non-profit organizations; government; results-based management,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Social development and welfare,Développement social et bien-être
96179,Laval théologique et philosophique,General Support," $21,612 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Laval théologique et philosophique,philosophie; sciences des religions; théologie; éthique; modernité; études anciennes; esthétique,Aid to Scholarly Journals,Aide aux revues savantes,Philosophy,Philosophie,Philosophy,Philosophie,Not Subject to Research Classification,Sans objet
96180,Canadian Journal of Education,General Support," $30,000 ",2019,Canadian Society for the Study of Education,Société canadienne pour l'étude de l'éducation,ON,Ontario,Ontario,2018,Canadian Journal of Education / Revue canadienne de l'éducation,education; students; teachers; public administration; knowledge mobilization; educational policy; administration; practice; Indigenous education; cognitive studies; assessment & educational statistics; history & philosophy of education; teacher education,Aid to Scholarly Journals,Aide aux revues savantes,Education,Éducation,Education,Éducation,Education,Éducation
96181,Labour: Journal of Canadian Labour Studies,General Support," $31,000 ",2019,Athabasca University,Athabasca University,AB,Alberta,Alberta,2018,Labour/Le Travail: Journal of Canadian Labour Studies / Labour/Le Travail : revue d'études ouvrières canadiennes,labour studies; working-class history; culture of popular classes; unions; reform politics; class structure; industrial relations; social movements; social structure,Aid to Scholarly Journals,Aide aux revues savantes,Labour Studies,Études du travail,Industrial Relations,Relations industrielles,Employment and labour,Emploi et travail
96182,Revue internationale PME,General Support," $34,806 ",2019,Université du Québec à Trois-Rivières,Université du Québec à Trois-Rivières,QC,Quebec,Québec,2018,Revue internationale PME,PME; entrepreneuriat; écosystème entrepreneurial; management; stratégie; développement durable; fonctions de l'entreprise; performance; défaillance; risque; innovation; internationalisation,Aid to Scholarly Journals,Aide aux revues savantes,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
96183,International Indigenous Policy Journal,General Support," $29,050 ",2019,Western University (The University of Western Ontario),Western University (The University of Western Ontario),ON,Ontario,Ontario,2018,The International Indigenous Policy Journal,Indigenous policy; Indigenous peoples; politics; economy; demography; health; educational attainment; language preservation ;EC DEV; traditional knowledge; research menthods; environmental; governce,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Indigenous peoples,Populations autochtones
96184,Recherches amérindiennes au Québec,General Support," $32,050 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,Recherches amérindiennes au Québec,autochtones; premières nations; cultures; anthropologie; histoire; réalités socioéconomiques; contexte juridico-politique,Aid to Scholarly Journals,Aide aux revues savantes,Anthropology,Anthropologie,Anthropology,Anthropologie,Indigenous peoples,Populations autochtones
96185,Études françaises,General Support," $32,706 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Études françaises,littératures de langue française; critique littéraire; théorie littéraire; histoire littéraire; interdisciplinarité,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, French",Littérature française,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96186,Canadian Journal of Urban Research,General Support," $14,700 ",2019,The University of Winnipeg,The University of Winnipeg,MB,Manitoba,Manitoba,2018,Canadian Journal of Urban Research / Revue Canadienne de Recherche Urbaine,urban policy; urban theory & methods; urban environment; urban government/politics; quality of urban life; city planning; urban housing; urban ecology/biology; urban health; community development; women & cities; immigration,Aid to Scholarly Journals,Aide aux revues savantes,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales","Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Housing,Logement
96187,Surveillance & Society,General Support," $29,400 ",2019,Queen's University,Queen's University,ON,Ontario,Ontario,2018,Surveillance & Society / Surveillance et Société,surveillance; monitoring; transparency; visibility; privacy; security; social control; governance; biopolitics,Aid to Scholarly Journals,Aide aux revues savantes,Other Sociology,Sociologie (autres),Sociology,Sociologie,Science and technology,Science et technologie
96188,Revue des sciences de l'éducation,General Support," $31,050 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Revue des sciences de l'éducation,éducation; formation; enseignement; apprentissage,Aid to Scholarly Journals,Aide aux revues savantes,Education,Éducation,Education,Éducation,Education,Éducation
96190,Refuge: Canada's Journal on Refugees,General Support," $27,598 ",2019,York University,Université York,ON,Ontario,Ontario,2018,Refuge: Canada's Journal on Refugees / Refuge: La revue canadienne sur les réfugiés,refugee; refugee studies; forced migration; asylum; international relations; human rights; resettlement,Aid to Scholarly Journals,Aide aux revues savantes,"Migration, Mobility","Migration, mobilité",Demography,Démographie,Immigration,Immigration
96191,Canadian Journal of Disability Studies,General Support," $30,000 ",2019,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2018,Canadian Journal of Disability Studies / Journal Canadien D'études Sur le Handicap,disability studies; history; sociology; social work; language and literature; legal studies; human geography; interdisciplinary studies; gender studies; Aboriginal studies; philosophy; education; library science; recreation and leisure studies,Aid to Scholarly Journals,Aide aux revues savantes,Other Education,Éducation (autres),Education,Éducation,Mental Health,Santé mentale
96192,Mediaeval Studies,General Support," $15,500 ",2019,University of St. Michael's College,University of St. Michael's College,ON,Ontario,Ontario,2018,Mediaeval Studies,Middle Ages; manuscripts; philosophy; theology; history; Medieval Latin; Old and Middle English; Old French; archaeology; art; hagiography; interdisciplinary research; law; liturgy; music; religion; sermons; spirituality; women's studies,Aid to Scholarly Journals,Aide aux revues savantes,Mediaeval Studies,Études médiévales,Mediaeval Studies,Études médiévales,Arts and culture,Beaux-arts et culture
96193,International Management,General Support," $34,400 ",2019,HEC Montréal,HEC Montréal,QC,Quebec,Québec,2018,Management International,communication/négociation; éthique; gestion de la connaissance; gestion de risques; gestion interculturelle; innovation et entrepreneurship; internationalisation/mondialisation; leadership; performance; privatisation; stratégie/concurrence; NTIC,Aid to Scholarly Journals,Aide aux revues savantes,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Globalization,Mondialisation
96194,L'Actualité économique : Revue d'analyse économique,General Support," $26,800 ",2019,HEC Montréal,HEC Montréal,QC,Quebec,Québec,2018,l'Actualité économique: Revue d'Analyse Économique,économie; finance; économétrie; microéconomie; macroéconomie; politiques publiques; histoire de la pensée économique; développement économique,Aid to Scholarly Journals,Aide aux revues savantes,Economics,Science économique,Economics,Science économique,Economic and Regional Development,Développement économique et régional
96195,Canadian Journal of Educational Administration and Policy,General Support," $27,300 ",2019,University of Saskatchewan,University of Saskatchewan,SK,Saskatchewan,Saskatchewan,2018,Canadian Journal of Educational Administration and Policy / Revue Canadienne en administration et politique de l'éducation,educational administration; education policy; education governance; educational leadership; public; independent and First Nations school systems; comparative education,Aid to Scholarly Journals,Aide aux revues savantes,"Educational Administration, Planning and Governance","Administration, planification et direction scolaires",Education,Éducation,Education,Éducation
96196,Sociologie et sociétés,General Support," $27,125 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Sociologie et sociétés,sociologie générale; théories sociologiques; études de cas,Aid to Scholarly Journals,Aide aux revues savantes,Sociology,Sociologie,Sociology,Sociologie,Social development and welfare,Développement social et bien-être
96197,Theatre Research in Canada,General Support," $19,000 ",2019,Western University (The University of Western Ontario),Western University (The University of Western Ontario),ON,Ontario,Ontario,2018,Theatre Research in Canada / Recherches Theatrales au Canada,Canadian theatre; Canadian performance; theatre studies; theatre history; performance studies,Aid to Scholarly Journals,Aide aux revues savantes,"Theatre, Drama",Théâtre,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
96198,Meta: Translators' Journal,General Support," $29,400 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Meta: Translators' Journal / Meta : Journal des traducteurs,traduction; terminologie; interprétation; linguistique; langages spécialisés; études de corpus,Aid to Scholarly Journals,Aide aux revues savantes,Translation and Interpretation,Traduction et interprétation,Linguistics,Linguistique,Post-Secondary Education and Research,Éducation et recherche postsecondaires
96199,The International Review of Research in Open and Distributed Learning,General Support," $33,626 ",2019,Athabasca University,Athabasca University,AB,Alberta,Alberta,2018,International Review of Research in Open and Distributed Learning,distance education; open learning; educational technology; open educational resources; OER; MOOCs; mobile learning; online learning; learning management system,Aid to Scholarly Journals,Aide aux revues savantes,Distance Education,Enseignement à distance,Education,Éducation,Education,Éducation
96200,Lien social et politiques,General Support," $26,850 ",2019,Institut national de la recherche scientifique,Institut national de la recherche scientifique,QC,Quebec,Québec,2018,Lien social et politiques,lien social; politiques sociales; Amérique du Nord; Europe; gestion publique; interdisciplinarité,Aid to Scholarly Journals,Aide aux revues savantes,Public Policy Studies,Analyse de politique,Political Science,Sciences politiques,Social development and welfare,Développement social et bien-être
96201,Études littéraires,General Support," $34,150 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Revue Études littéraires,critique littéraire; littérature générale et comparée; oeuvres littéraires; approches critiques; études socio-historiques,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, General",Littérature générale,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96203,Journal of the Canadian Association for Curriculum Studies,General Support," $34,110 ",2019,Lakehead University,Lakehead University,ON,Ontario,Ontario,2018,Journal of the Canadian Association for Curriculum Studies / La revue de l'association canadienne pour l'étude e curriculum,Canadian curriculum studies; education; teaching and learning; curriculum theory; pedagogy; teaching methods,Aid to Scholarly Journals,Aide aux revues savantes,Education,Éducation,Education,Éducation,Education,Éducation
96204,ESC: English Studies in Canada,General Support," $30,000 ",2019,Western University (The University of Western Ontario),Western University (The University of Western Ontario),ON,Ontario,Ontario,2018,ESC: English Studies In Canada,English studies; cultural studies; cinema studies; multidisciplinary arts; interdisciplinary arts,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, English",Littérature anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96205,Quebec Journal of International Law,General Support," $29,950 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,Revue québécoise de droit international / Quebec Journal of International Law,droit international public; droit international privé; droit international économique; droit international pénal; droit de l'union européenne; droit international des droits de la personne; droit humanitaire; droit régional; droit comparé,Aid to Scholarly Journals,Aide aux revues savantes,International Law,Droit international,Law,Droit,Law and Justice,Droit et justice
96206,Evidence Based Library and Information Practice,General Support," $34,150 ",2019,Concordia University,Université Concordia,QC,Quebec,Québec,2018,Evidence Based Library and Information Practice,librarianship; information science; evidence-based practice,Aid to Scholarly Journals,Aide aux revues savantes,Library and Information Science,Bibliothéconomie et science de l'information,Library and Information Science,Bibliothéconomie et science de l'information,Not Subject to Research Classification,Sans objet
96207,Voix et Images: littérature québécoise,General Support," $33,333 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,Voix et Images,critique; oeuvres; institution littéraire; auteur(e)s; théories littéraires; littérature québécoise,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, French Canadian, Québécoise","Littérature canadienne-française, québécoise","Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96208,TTR: Translation Terminology Writing,General Support," $21,609 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,"TTR: Traduction, Terminologie, Rédaction",traductologie; traduction; terminologie; rédaction; sous-titrage; doublage; interprétation; langues officielles du Canada; littérature comparée; communication interculturelle; médiation interculturelle; langues de spécialité; variation linguistique,Aid to Scholarly Journals,Aide aux revues savantes,Other Linguistics,Linguistique (autres),Linguistics,Linguistique,Canada's Official Languages,Langues officielles du Canada
96209,Canadian Review of Sociology,General Support," $20,500 ",2019,Memorial University of Newfoundland,Memorial University of Newfoundland,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2018,Canadian Review of Sociology / Revue canadienne de sociologie,sociology; social analysis; research methods; social structures and organization; social processes; Canadian society; comparative perspectives,Aid to Scholarly Journals,Aide aux revues savantes,Sociology,Sociologie,Sociology,Sociologie,Not Subject to Research Classification,Sans objet
96210,McGill Law Journal,General Support," $31,673 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2018,McGill Law Journal / Revue de droit de McGill,general law; legal theory; common law; civil law; comparative law; transsystemic law; international law; public law; private law; constitutional law; Aboriginal law; criminal law; health law; environmental law; administrative law; taxation; corporate law,Aid to Scholarly Journals,Aide aux revues savantes,Law,Droit,Law,Droit,Law and Justice,Droit et justice
96211,Revue frontières,General Support," $24,700 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,Frontières,mort; deuil; vieillesse; rites funéraires; bioéthique; interdisciplinarité; dimension socioanthropologique; suicide; fin de vie; disparition; cadavre; pratiques et rites funéraires; patrimoine thanatologique,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Population studies,Études de la population
96212,Canadian Journal of Development Studies,General Support," $35,000 ",2019,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2018,Canadian Journal of Development Studies / Revue canadienne d'études du développement,international development; development practice; poverty; growth; social justice; sustainability; gender and development; social movements; human security; Canada's development policy,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Economic and Regional Development,Développement économique et régional
96213,Canadian Journal on Aging,General Support," $29,650 ",2019,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2018,Canadian Journal on Aging / Revue Canadienne du Vieillissement,aging; social sciences; social policy and practice; psychology; educational gerontology; biology; health sciences,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Elderly,Personnes âgées
96214,Revue @nalyses,General Support," $21,000 ",2019,Université de Moncton,Université de Moncton,NB,New Brunswick,Nouveau-Brunswick,2018,@nalyses,littératures franco-canadiennes et québécoise; théorie; critique littéraire,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, French Canadian, Québécoise","Littérature canadienne-française, québécoise","Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96215,Industrial Relations,General Support," $34,400 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Relations industrielles / Industrial Relations,relations de travail; syndicalisme; négociation collective; mondialisation et relations industrielles; droit du travail; gestion des ressources humaines; démocratie industrielle; santé et sécurité au travail; politiques publiques en matière de travail,Aid to Scholarly Journals,Aide aux revues savantes,Industrial Relations,Relations industrielles,Industrial Relations,Relations industrielles,Employment and labour,Emploi et travail
96216,Canadian Social Work Review,General Support," $19,100 ",2019,Canadian Association for Social Work Education,Association canadienne pour la formation en travail social,ON,Ontario,Ontario,2018,Canadian Social Work Review / Revue canadienne de service social,social work education; social work practice; social work theory; social work research,Aid to Scholarly Journals,Aide aux revues savantes,Social Work,Travail social,Social Work,Travail social,Social development and welfare,Développement social et bien-être
96217,Anthropologica,General Support," $27,650 ",2019,University of Toronto Press,University of Toronto Press,ON,Ontario,Ontario,2018,Anthropologica,cultural and social anthropology; ethnography; social theory; qualitative methods; cross-cultural research; Canada; international,Aid to Scholarly Journals,Aide aux revues savantes,Cultural Anthropology,Anthropologie culturelle,Anthropology,Anthropologie,Indigenous peoples,Populations autochtones
96218,Éducation et francophonie,General Support," $31,404 ",2019,Association canadienne d'éducation de langue française,Association canadienne d'éducation de langue française,QC,Quebec,Québec,2018,Éducation et francophonie,éducation; francophone; scientifique; résultats de recherche; pédagogie; enseignement,Aid to Scholarly Journals,Aide aux revues savantes,Teacher education,Formation des maîtres,Education,Éducation,Education,Éducation
96219,"Intermediality - History & Theory of the Arts, Literature & Technologies",General Support," $28,900 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,"Intermediality. History and Theory of the Arts, Literature and Technologies / Intermédialités. Histoire et théorie des arts, des lettres et des techniques",études culturelles et pluridisciplinaires; esthétique et histoire des techniques; histoire des arts et des lettres; théorie de l'art et de la littérature; études médiatiques et intermédiales,Aid to Scholarly Journals,Aide aux revues savantes,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
96220,Romanticism on the Net,General Support," $33,100 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Romanticism on the Net,British Romantic literature,Aid to Scholarly Journals,Aide aux revues savantes,"Literature, English - Literary Movements",Littérature anglaise - Tendances littéraires,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
96221,VertigO - La revue électronique en sciences de l'environnement,General Support," $34,400 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,VertigO- la revue electronique en sciences de l'environnement,sciences; environnement; société; nature; développement durable; gestion intégrée; éthique; ressources; aménagement; territoire,Aid to Scholarly Journals,Aide aux revues savantes,Other Environmental Studies,Études de l'environnement (autres),"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Environment and Sustainability,Environnement et développement durable
96222,Canadian Food Studies,General Support," $25,000 ",2019,Lakehead University,Lakehead University,ON,Ontario,Ontario,2018,Canadian Food Studies / La Revue canadienne des études sur l'alimentation,agriculture; critical theory; cuisine; ethnobotany; food art/design; food culture; food history; food systems; gender; governance; identity; Indigenous; land use; policy; production-consumption; race and class; research-creation; social movements,Aid to Scholarly Journals,Aide aux revues savantes,Other Environmental Studies,Études de l'environnement (autres),"Urban and Regional Studies, Environmental Studies","Urbanisme, aménagement régional et études environnementales",Environment and Sustainability,Environnement et développement durable
