Unique_ID,FiscalYear,Institution,AmountPaid,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
693980.0,2019,University of Alberta,15000.0,New Investigator Award - Priority Announcement: HIV/AIDS Services/Population Health Research,Award Program,"Pathways to health equity: Addressing research gaps and generating insights into the social determinants of health affecting HIV and AIDS prevention, care, and treatment for vulnerable populations.",Social/Cultural/Environmental/Population Health,Societal & cultural dimensions of health
986845.0,2019,University of Western Ontario,25000.0,"Chair: Gender, Work and Health - Muscle and bone",Award Program,Gender in Measurement and Rehabilitation of Musculoskeletal Work Disability,Clinical,"Muscle, bone, or joint"
837299.0,2019,McMaster University,41667.0,"Chair: Gender, Work and Health - Implementation Systems",Award Program,"Gender, Health and Caregiver Friendly Workplaces",Social/Cultural/Environmental/Population Health,Health services research
710300.0,2019,University of Toronto,53529.0,Operating Grant,Grant Program,Canada-Wide Human Nutrition Trialists' Network.,Clinical,Health research
723208.0,2019,CIUSSS du Centre-Sud-de-l'Ile-de-Montreal,295965.0,Operating Grant,Grant Program,Effectiveness of a consumer-targeted pharmacist-led educational intervention to reduce inappropriate prescriptions,Clinical,Other medical research
46272.0,2019,York University,11327.0,Operating Grant,Grant Program,Neurophysiology of 3-D Gaze and Head Control,Biomedical,Neurosciences-neurological disorders
961826.0,2019,McGill University,19518.0,Operating Grant,Grant Program,"Effect of 1,25 dihydroxyvitamin D on control of cell growth and differentiation",Biomedical,Genetics
107212.0,2019,McGill University,2000.0,Operating Grant,Grant Program,Molecular Physiology of P2X ATP Receptor Channels in Pain Pathways,Biomedical,"Molecular, cellular and systems biology-cell signaling"
889909.0,2019,McGill University,100000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Molecular Pharmacology,Biomedical,Molecular biology
499157.0,2019,Université de Montréal,100000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Approches communautaires et inegalites de sante,Social/Cultural/Environmental/Population Health,Psychosocial/health behavioural res.
936182.0,2019,Universite de Sherbrooke,100000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Chaire de recherche du canada en neurophysiopharmacologie de la douleur chronique,Biomedical,Nervous system
