Unique_ID,CompetitionFY,Institution,Total_Amount,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
542415-2019,2019,University of Toronto,17500.0,,Research Training and Talent Development,The role of flight in shaping genome size across the tree of life,Environment,Evolution and ecology
543042-2019,2019,University of Guelph,17500.0,,Research Training and Talent Development,The Role of GABAergic Signalling in Category Learning and Recognition,"Health, education and social services",Psychology
542636-2019,2019,University of Guelph,17500.0,,Research Training and Talent Development,The role of impaired alpha-synuclein proteostasis in the activation of cell stress pathways,"Health, education and social services",Cell biology
542567-2019,2019,McGill University,17500.0,,Research Training and Talent Development,The role of interference and decay in the forgetting of details from episodic memories,"Health, education and social services",Psychology
542851-2019,2019,University of Alberta,17500.0,,Research Training and Talent Development,The role of kcnv2 in flux-dependent photoreceptor development,Northern development,Psychology
542414-2019,2019,University of Western Ontario,17500.0,,Research Training and Talent Development,The Role of Neural Entrainment in Statistical Learning,"Health, education and social services",Psychology
542662-2019,2019,University of Calgary,17500.0,,Research Training and Talent Development,The Role of Notch Signaling in Caenorhabditis elegans Germline Stem Cells,Agriculture and primary food production,Cell biology
542390-2019,2019,University of Ottawa,17500.0,,Research Training and Talent Development,The role of peptidylarginine deiminase 4 in endothelial cell function,Manufacturing processes and products,Molecular biology
544737-2019,2019,University of Alberta,17500.0,,Research Training and Talent Development,The role of supplemental zinc in gut barrier function and systemic inflammation in acidotic dairy cows,Agriculture and primary food production,Animal biology
544714-2019,2019,University of New Brunswick,17500.0,,Research Training and Talent Development,The Role of Syntax in Songbird Communication,Information and communication services,Animal biology
544918-2019,2019,Simon Fraser University,17500.0,,Research Training and Talent Development,The role of the molecular motor KIF1A in the transport of the autophagy protein ATG-9A in mammalian neurons,"Health, education and social services",Cell biology
542813-2019,2019,University of Saskatchewan,17500.0,,Research Training and Talent Development,The Synthesis and Testing of Somatostatin Analogs: Octreotide-chelator Conjugates and their Use in PET/CT Imaging,Manufacturing processes and products,Inorganic chemistry
542787-2019,2019,Simon Fraser University,17500.0,,Research Training and Talent Development,"The Timing and Temperature of Lateral Ductile Flow in the Shuswap Complex, British Columbia",Energy resources,Earth science
542523-2019,2019,Memorial University of Newfoundland,17500.0,,Research Training and Talent Development,The Watchman's Walk Problem on Directed Graphs,Information and communication services,Pure mathematics
544472-2019,2019,University of Manitoba,17500.0,,Research Training and Talent Development,The Wellness Center Typology: Wellness Center as Community Hub,Manufacturing processes and products,Design and manufacturing
543310-2019,2019,University of Waterloo,17500.0,,Research Training and Talent Development,Theory and Algorithms for Graph Decompositions,Information and communication services,Industrial engineering
543010-2019,2019,University of Ottawa,17500.0,,Research Training and Talent Development,Three different approaches to mimicking free space,Information and communication services,Electrical and electronic engineering
542953-2019,2019,University of Calgary,17500.0,,Research Training and Talent Development,Titin Adaptation in Exercise and Disuse,"Health, education and social services",Animal biology
543175-2019,2019,Simon Fraser University,17500.0,,Research Training and Talent Development,Total Synthesis of Eribulin,Manufacturing processes and products,Organic chemistry
542920-2019,2019,University of Toronto,17500.0,,Research Training and Talent Development,Towards Dynamic Subject-Independent Imagined Speech Classifiers using Deep Learning and Mobile EEG,Information and communication services,Electrical and electronic engineering
542610-2019,2019,University of New Brunswick,17500.0,,Research Training and Talent Development,Towards the Development of Electrochemical Sensors for Lyme Disease Detection,Agriculture and primary food production,Analytical chemistry
542968-2019,2019,University of Ottawa,17500.0,,Research Training and Talent Development,Tracking Progress: The development and validation of an energy yield model for bifacial photovoltaic tracking systems in northern environments,Energy resources,Electrical and electronic engineering
543465-2019,2019,York University,17500.0,,Research Training and Talent Development,Tracking the dispersal of the endangered Opuntia cespitosa by animal vectors in Point Pelee National Park,Environment,Evolution and ecology
543096-2019,2019,Dalhousie University,17500.0,,Research Training and Talent Development,Tradeoffs in ecosystem services in the agricultural land use conversion to perennial small fruit orchards,Environment,Evolution and ecology
544464-2019,2019,École Polytechnique de Montréal,17500.0,,Research Training and Talent Development,Transduction between microwaves and infrared light exploiting the quantumness of topological semiconductor nanostructures,Information and communication services,Electrical and electronic engineering
542903-2019,2019,Institut national de la recherche scientifique,17500.0,,Research Training and Talent Development,Transfer process of the outer-membrane of Myxococcus xanthus by dynamin-like proteins,Manufacturing processes and products,Cell biology
542727-2019,2019,Université de Montréal,17500.0,,Research Training and Talent Development,"Transport d'états quantiques, réseaux de spins et graphes",Manufacturing processes and products,Physics
542966-2019,2019,University of Western Ontario,17500.0,,Research Training and Talent Development,tRNA homeostasis is maintained by RNA decay pathways,"Health, education and social services",Biochemistry
542663-2019,2019,McGill University,17500.0,,Research Training and Talent Development,Tunable culture system with independent control over stiffness and topography for dynamic mechanobiology,"Health, education and social services",Biomedical engineering
542962-2019,2019,University of New Brunswick,17500.0,,Research Training and Talent Development,UAV imaging to monitor salt marsh restoration in the Bay of Fundy,Northern development,Evolution and ecology
542786-2019,2019,Université de Sherbrooke,17500.0,,Research Training and Talent Development,Un algorithme d'apprentissage profond en intelligence artificielle pour la détection automatique de maladies dans les cultures maraîchères,Information and communication services,Geographical information
544792-2019,2019,University of Toronto,17500.0,,Research Training and Talent Development,Uncovering How Mitochondria Regulate Germline Stem Cell Differentiation,"Health, education and social services",Cell biology
544711-2019,2019,University of Calgary,17500.0,,Research Training and Talent Development,Uncovering the Role of GSK-3ß in Exercise-induced Neurogensis,"Health, education and social services",Psychology
544944-2019,2019,York University,17500.0,,Research Training and Talent Development,"Uncovering the role of phosphorylation in maintaining the elasticity of the novel spindle structure, tethers, throughout anaphase in crane fly spermatocytes",Agriculture and primary food production,Cell biology
548956-2019,2019,McGill University,17500.0,,Research Training and Talent Development,Understanding Cellular and Mitochondrial Copper Homeostasis,Agriculture and primary food production,Cell biology
542633-2019,2019,University of Ontario Institute of Technology,17500.0,,Research Training and Talent Development,"Understanding fine-scale land-use effects on the nearshore zone in Lake Scugog, Ontario",Environment,Evolution and ecology
542746-2019,2019,University of British Columbia,17500.0,,Research Training and Talent Development,Understanding Gender Bias in Human Subject Sampling in HCI Research,"Health, education and social services",Information technology
544930-2019,2019,McGill University,17500.0,,Research Training and Talent Development,Understanding the Genetic Factors Influencing the Legionella Pneumophila Heat Shock Response,"Health, education and social services",Microbiology
544946-2019,2019,University of British Columbia,17500.0,,Research Training and Talent Development,Understanding the subcellular responses to environmental stress in Arabidopsis,Agriculture and primary food production,Plant and treebiology
542970-2019,2019,University of Toronto,17500.0,,Research Training and Talent Development,Understanding translational regulation during male germ cell development,Agriculture and primary food production,Molecular biology
542902-2019,2019,University of Waterloo,17500.0,,Research Training and Talent Development,Use of Socially Assistive Robots in Spinal Cord Injury Rehabilitation,"Health, education and social services",Biomedical engineering
544947-2019,2019,University of British Columbia,17500.0,,Research Training and Talent Development,Using a toxicogenomic approach to evaluate the detoxification of nicotine in the agricultural insect pest Trichoplusia ni.,Agriculture and primary food production,Animal biology
542927-2019,2019,McMaster University,17500.0,,Research Training and Talent Development,Using artificial selection to quantify genetic variation in phototactic behaviours,"Health, education and social services",Evolution and ecology
542947-2019,2019,McMaster University,17500.0,,Research Training and Talent Development,Using Biofilm Stimulation and Inhibition to Identify New Antimicrobials,"Health, education and social services",Microbiology
544735-2019,2019,University of Northern British Columbia,17500.0,,Research Training and Talent Development,Using Endangered Nechako White Sturgeon (Acipenser transmontanus) to Assess Predator Recognition Training as a Conservation Tool,Environment,Evolution and ecology
542477-2019,2019,University of Guelph,17500.0,,Research Training and Talent Development,Using Machine Learning to Measure Circuit Similarity for Field Programmable Gate Arrays,Manufacturing processes and products,Artificial intelligence
542777-2019,2019,University of Regina,17500.0,,Research Training and Talent Development,Using positron emission tomography to study mechanisms of a plant growth promoting bacteria in rice,Manufacturing processes and products,Microbiology
542584-2019,2019,University of Alberta,17500.0,,Research Training and Talent Development,Using priority effects to understand post-restoration dynamics in high-biodiversity ecosystems,Environment,Evolution and ecology
543110-2019,2019,Dalhousie University,17500.0,,Research Training and Talent Development,Using stable isotopes to investigate the metabolism of nitrite-oxidizing bacteria,Transportation systems and services,Oceanography
542632-2019,2019,University of British Columbia,17500.0,,Research Training and Talent Development,Using the Mathematics of Inverse Problems and Dynamical Systems to De-mystify Deep Neural Networks (DNNs),Manufacturing processes and products,Artificial intelligence
548880-2019,2019,Université du Québec à Rimouski,17500.0,,Research Training and Talent Development,"Utilisation de l'habitat par le lièvre à Alert, au Nunavut.",Environment,Evolution and ecology
542733-2019,2019,Université du Québec en Abitibi-Témiscamingue,17500.0,,Research Training and Talent Development,Utilisation des parcs à résidus miniers par la sauvagine en comparaison avec un milieu naturel,Environment,Evolution and ecology
543127-2019,2019,University of British Columbia,17500.0,,Research Training and Talent Development,Utilizing Superposition Transmission to Improve Spectrum Efficiency for Backhaul Networks,Information and communication services,Electrical and electronic engineering
544937-2019,2019,University of British Columbia,17500.0,,Research Training and Talent Development,Vacuolar degradation of arginine-methylated proteins in Saccharomyces cerevisiae,Agriculture and primary food production,Biochemistry
542289-2019,2019,École Polytechnique de Montréal,17500.0,,Research Training and Talent Development,Validation de modèles granulaires de contact à l'aide de méthodes d'apprentissage automatique,Information and communication services,Applied mathematics
543100-2019,2019,Université de Montréal,17500.0,,Research Training and Talent Development,Valorisation de la biomasse et évolution d'hydrogène via un hybride polyoxométallate-organique,Energy resources,Inorganic chemistry
544723-2019,2019,University of Waterloo,17500.0,,Research Training and Talent Development,Vanishing Cycles of Equivariant Perverse Sheaves on Vogan Varieties of Type A,Environment,Pure mathematics
544718-2019,2019,Saint Mary's University,17500.0,,Research Training and Talent Development,Variable Star Observations,The socioeconomic objective available,Astronomy and astrophysics
543464-2019,2019,University of Waterloo,17500.0,,Research Training and Talent Development,"Vegetation diversity of valley bottom peatlands in the upper Bow River basin in Alberta, Canada",Environment,Evolution and ecology
542622-2019,2019,University of Western Ontario,17500.0,,Research Training and Talent Development,Video image processing for the evaluation of vascular dynamics in cerebrovascular interventions,"Health, education and social services",Biomedical engineering
542751-2019,2019,McGill University,17500.0,,Research Training and Talent Development,Viral deregulation of the anaphase promoting complex,"Health, education and social services",Biochemistry
544949-2019,2019,University of British Columbia,17500.0,,Research Training and Talent Development,Visual speech processing in virtual reality,Information and communication services,Psychology
542915-2019,2019,University of Toronto,17500.0,,Research Training and Talent Development,Water Treatment Membranes for Hydroponics Irrigation Recycling,Transportation systems and services,Environmental engineering
543114-2019,2019,Université Laval,17500.0,,Research Training and Talent Development,Wavefunction ansatz for strongly correlated systems,Information and communication services,Theoretical physics and chemistry
542928-2019,2019,Simon Fraser University,17500.0,,Research Training and Talent Development,Wearable Sweat Lactate Sensor,Manufacturing processes and products,Biomedical engineering
543072-2019,2019,University of Saskatchewan,17500.0,,Research Training and Talent Development,"Wetland carbon storage in the prairie landscape, and implications for agricultural practices",Environment,Evolution and ecology
544740-2019,2019,University of Waterloo,17500.0,,Research Training and Talent Development,What is causing low water levels at local lakes of interest in the Peace-Athabasca Delta?,Environment,Evolution and ecology
542684-2019,2019,University of Waterloo,17500.0,,Research Training and Talent Development,When is adjusting for measurement error beneficial?,Environment,Statistics and probability
543086-2019,2019,University of Alberta,17500.0,,Research Training and Talent Development,Why did the bear cross the road? Investigating whether male avoidance influences female movement patterns near roads in Western Alberta.,Environment,Evolution and ecology
543149-2019,2019,University of Calgary,17500.0,,Research Training and Talent Development,Why the Long Face? A Study of Skull Shape Changes in Mice Artificially Selected for Longer Limbs,"Health, education and social services",Evolution and ecology
542788-2019,2019,Queen's University,17500.0,,Research Training and Talent Development,Wide-Band Frequency Tunable Bulls-Eye Antenna [MSc Proposal],Manufacturing processes and products,Electrical and electronic engineering
542802-2019,2019,University of Western Ontario,17500.0,,Research Training and Talent Development,Wind Effects on Tall Mass Timber Buildings,"Construction, urban and rural planning",Structural engineering
542686-2019,2019,University of Alberta,17500.0,,Research Training and Talent Development,Winter behaviour in a new migratory segment: Ya Ha Tinda elk herd,Environment,Evolution and ecology
544812-2019,2019,University of Toronto,17500.0,,Research Training and Talent Development,Wireless Power Transfer using Convex Optimization,Information and communication services,Electrical and electronic engineering
544704-2019,2019,University of Victoria,17500.0,,Research Training and Talent Development,X-ray Fluorescence Computed Tomography Imaging of Gold Nanoparticles,Natural resources (economic aspects),Physics
544100-2019,2019,Queen's University,17607.0,,Research Partnerships,Data Driven Optimization for Smart Energy Usage,Energy resources,Systems engineering
RGPIN-2019-06051,2019,University of Ottawa,18000.0,,Discovery Research,Ancestry-based statistical methods for genetic studies,Environment,Statistics and probability
RGPIN-2019-05906,2019,Wilfrid Laurier University,18000.0,,Discovery Research,Applications of certain non-Gaussian processes in financial mathematics,Environment,Applied mathematics
RGPIN-2019-06782,2019,Simon Fraser University,18000.0,,Discovery Research,Hedging of longevity/mortality risks and statistical approaches to modelling mortality rates,Environment,Statistics and probability
RGPIN-2019-04779,2019,University of Alberta,18000.0,,Discovery Research,"Informational markets: Risk modelling, risk management and portfolio analysis",Environment,Statistics and probability
RGPIN-2019-04174,2019,University of Waterloo,18000.0,,Discovery Research,Methods for causal analysis of longitudinal data,"Health, education and social services",Statistics and probability
RGPIN-2019-04296,2019,University of Waterloo,18000.0,,Discovery Research,Methods for predictive models with longitudinal data,"Health, education and social services",Statistics and probability
RGPIN-2019-05640,2019,Simon Fraser University,18000.0,,Discovery Research,"Modeling, Analyzing and Managing Insurance Risks",Manufacturing processes and products,Statistics and probability
305449-2019,2019,University of Alberta,18000.0,,Discovery Research,Permafrost archives of northern environmental change and permafrost landsystems of the Mackenzie valley,Environment,Earth science
RGPIN-2019-06065,2019,Lakehead University,18000.0,,Discovery Research,Probability Asymptotic Theorems and Their Applications,Environment,Statistics and probability
RGPIN-2019-06751,2019,Queen's University,18000.0,,Discovery Research,Some Problems in Spectral Methods and Discrete Probability,Environment,Statistics and probability
RGPIN-2019-05574,2019,Queen's University,18000.0,,Discovery Research,Statistical infernce for survival data: nonparametric methods and deep learning,Information and communication services,Statistics and probability
RGPIN-2019-06549,2019,University of Western Ontario,18000.0,,Discovery Research,Statistical methods for joint modeling and dynamic predictions for clustered data,"Health, education and social services",Statistics and probability
444194-2019,2019,Wilfrid Laurier University,18000.0,,Discovery Research,The role of altered resource availability in determining taiga forest response to permafrost thaw,Northern development,Evolution and ecology
535799-2019,2019,McGill University,18000.0,,Discovery Research,Trophic interactions and contaminant exposures under climate-driven species redistribution,Environment,Evolution and ecology
RGPIN-2019-05239,2019,University of British Columbia,18269.0,,Discovery Research,Localized Detection of Hydrogen Environment Embrittlement,"Construction, urban and rural planning",Materials science and technology
543853-2019,2019,McGill University,18333.0,,Research Partnerships,Poly(caprolactone)-based Plasticizers to reduce gas-check in PVC films,Manufacturing processes and products,Polymer chemistry
543539-2019,2019,École de technologie supérieure,18500.0,,Research Partnerships,"Améliorer les processus de conception, de construction et d'exploitation des chantiers de construction, en réutilisant l'information générée par le système de projection NOVA",Northern development,Civil engineering
549559-2019,2019,Cégep de Trois-Rivières,18600.0,,Research Partnerships,Rendez-vous carbone 2020,Environment,Chemical engineering
RGPIN-2019-06487,2019,Université de Montréal,18700.0,,Discovery Research,Approximations of computationally intensive statistical learning algorithms: theory and methods,Information and communication services,Statistics and probability
RGPIN-2019-04844,2019,University of Calgary,19000.0,,Discovery Research,"Algorithms in global fields, with applications",Information and communication services,Pure mathematics
RGPIN-2019-06422,2019,University of Victoria,19000.0,,Discovery Research,"Asymptotics and singularity formation in Nonlinear PDEs related to fluid dynamic, geophysical flows, quantum physics and optics.",Information and communication services,Applied mathematics
543552-2019,2019,Carleton University,19000.0,,Research Partnerships,Building scalable and real-time deep learning classification of encrypted network traffic,Information and communication services,Information technology
RGPIN-2019-06180,2019,Carleton University,19000.0,,Discovery Research,Codes and Latices: Construction and Decoding Algorithms,Information and communication services,Applied mathematics
RGPIN-2019-07281,2019,University of Ottawa,19000.0,,Discovery Research,Dual comb gyroscope,Manufacturing processes and products,Physics
RGPIN-2019-05892,2019,Wilfrid Laurier University,19000.0,,Discovery Research,Effects of heterogeneity on population and epidemic dynamics,Environment,Applied mathematics
RGPIN-2019-06013,2019,University of Alberta,19000.0,,Discovery Research,Fourier analytic methods in convex geometry and geometric tomography,Information and communication services,Pure mathematics
RGPIN-2019-03930,2019,University of Waterloo,19000.0,,Discovery Research,"Fractal Geometry, Dynamical systems and number theory.",Information and communication services,Pure mathematics
RGPIN-2019-04914,2019,Dalhousie University,19000.0,,Discovery Research,Games and Graphs,Information and communication services,Pure mathematics
RGPIN-2019-05695,2019,Memorial University of Newfoundland,19000.0,,Discovery Research,Graded algebras and applications,Energy resources,Pure mathematics
RGPIN-2019-03963,2019,University of British Columbia,19000.0,,Discovery Research,Hecke algebras in the mod p Langlands program,Information and communication services,Pure mathematics
534549-2019,2019,McGill University,19000.0,,Discovery Research,Illuminating the Dark Universe with Radio Observations,Information and communication services,Astronomy and astrophysics
RGPIN-2019-06170,2019,Carleton University,19000.0,,Discovery Research,Infinite-dimensional Lie algebras and their applications,Information and communication services,Pure mathematics
RGPIN-2019-06086,2019,University of Western Ontario,19000.0,,Discovery Research,Integrative modeling of the microcirculation: multi-scale dynamics of oxygen-dependent blood flow regulation,"Health, education and social services",Applied mathematics
RGPIN-2019-04420,2019,University of Saskatchewan,19000.0,,Discovery Research,Interplay between harmonic analysis and operator algebras,Environment,Pure mathematics
458980-2019,2019,University of Waterloo,19000.0,,Discovery Research,Isotopic and non-isotopic tracers for biogeochemical cycles of nutrients in pristine and impacted watersheds,Environment,Geochemistry and geochronology
444873-2019,2019,University of Alberta,19000.0,,Discovery Research,Landwater linkages and the biogeochemical effects of permafrost thaw: From pore waters to watersheds and beyond,Northern development,Earth science
RGPIN-2019-05443,2019,University of Ontario Institute of Technology,19000.0,,Discovery Research,Linking dynamics to scaling laws in physical and biological systems,Environment,Applied mathematics
RGPIN-2019-05276,2019,Brandon University,19000.0,,Discovery Research,Operator theory and matrix analysis methods in quantum information theory,Manufacturing processes and products,Pure mathematics
RGPIN-2019-06112,2019,University of Alberta,19000.0,,Discovery Research,Representations of Kac-Moody Groups and Applications to Automorphic Forms,Information and communication services,Pure mathematics
RGPIN-2019-05650,2019,Memorial University of Newfoundland,19000.0,,Discovery Research,Rigidity in enveloping algebras,Manufacturing processes and products,Pure mathematics
RGPIN-2019-03929,2019,University of British Columbia,19000.0,,Discovery Research,"Toric periods, modular forms, and number theory",Manufacturing processes and products,Pure mathematics
305521-2019,2019,University of British Columbia,19000.0,,Discovery Research,Tundra ecosystem responses to 30 years of experimental and observed changes in climate,Environment,Evolution and ecology
544817-2019,2019,"Red River College of Applied Arts, Science and Technology",19113.0,,Research Partnerships,Industry Consultation and Networking Activites - Vehicle Technology International Conference,Information and communication services,Agricultural engineering
RTI-2020-00457,2020,McMaster University,19217.0,,Discovery Research,Power Controller for Superconducting Magnet,Manufacturing processes and products,Materials science and technology
543576-2019,2019,University of Waterloo,19300.0,,Research Partnerships,Proterozoic remobilization of gold in shear-zone hosted Archean deposits,Natural resources (economic aspects),Earth science
545086-2019,2019,Université de Montréal,20000.0,,Research Training and Talent Development,1000 Sciences: transformer l'intérêt des jeunes pour les sciences en trajectoires de réussite vers l'Université et les carrières scientifiques,The socioeconomic objective available,Animal biology
RGPIN-2019-06586,2019,University of Western Ontario,20000.0,,Discovery Research,Accounting for batch claim arrivals and fluctuation in premium income: from practice to theory,The socioeconomic objective available,Statistics and probability
538895-2019,2019,Lakehead University,20000.0,,Research Partnerships,Application of thermal mixing on sewer pipe inspection in high flows,Transportation systems and services,Civil engineering
543671-2019,2019,Concordia University,20000.0,,Research Partnerships,Cloud-based Decision Support System for Building Lifecycle Decision Making at Early Design Phase,Energy resources,Civil engineering
546961-2019,2019,Lambton College of Applied Arts and Technology,20000.0,,Research Partnerships,Design and Development of a Gas Fueled Hot Air Blower for Multiple Dryer Hoppers,Manufacturing processes and products,Systems engineering
RGPIN-2019-04461,2019,McGill University,20000.0,,Discovery Research,Development of imaging genetics structural equation modeling for examining gene-brain-behavioural/cognitive relationships,"Health, education and social services",Statistics and probability
RGPIN-2019-04746,2019,University of Western Ontario,20000.0,,Discovery Research,Dynamic Portfolio Optimization Problems in Finance and Insurance.,The socioeconomic objective available,Statistics and probability
535843-2019,2019,University of Windsor,20000.0,,Discovery Research,Examining and predicting the adaptive capacity of individuals to cope with environmental change,Environment,Evolution and ecology
535798-2019,2019,Université Laval,20000.0,,Discovery Research,Influence des migrations animales sur la réponse des écosystèmes arctiques aux changements globaux,Environment,Evolution and ecology
539386-2019,2019,Carleton University,20000.0,,Research Partnerships,Laser-based Paint Removal for Aluminum and Composite Aircraft Structures,Transportation systems and services,Mechanical engineering
548995-2019,2019,University of Alberta,20000.0,,Research Partnerships,Machine learning assisted beyond the diffraction limit imaging,Manufacturing processes and products,Artificial intelligence
RGPIN-2019-04488,2019,Université de Montréal,20000.0,,Discovery Research,Markov chain Monte Carlo algorithms and locally informed proposal distributions,Information and communication services,Statistics and probability
RGPIN-2019-05397,2019,McMaster University,20000.0,,Discovery Research,Mathematical Modelling and Problem Solving in Finance and Insurance,Transportation systems and services,Applied mathematics
RGPIN-2019-04922,2019,University of Alberta,20000.0,,Discovery Research,Modern Stochastics: Optional Processes and their Applications,Transportation systems and services,Pure mathematics
RGPIN-2019-06727,2019,Université du Québec à Montréal,20000.0,,Discovery Research,Multivariate Modelling and Inference of Dependent and High-Dimensional Data in Recent Genetic Studies,"Health, education and social services",Statistics and probability
RGPIN-2019-07077,2019,Université du Québec à Montréal,20000.0,,Discovery Research,New algorithms and new data for insurance : impact of machine learning techniques in insurance ratemaking,Information and communication services,Statistics and probability
543334-2019,2019,McGill University,20000.0,,Research Partnerships,Optimized Design of 3D Printed Lightweight Architected Shellular Materials,"Construction, urban and rural planning",Mechanical engineering
545209-2019,2019,Mount Allison University,20000.0,,Research Training and Talent Development,Parent-Daughter Coding Workshops,Information and communication services,Software and development
RGPIN-2019-07020,2019,University of Saskatchewan,20000.0,,Discovery Research,Predictive Methods for Analyzing High-throughput Data and Spatial-Temporal Data,"Health, education and social services",Statistics and probability
548669-2019,2019,University of Manitoba,20000.0,,Research Partnerships,Rehabilitation of wooden utility poles with sprayed-GFRP composites,"Construction, urban and rural planning",Civil engineering
RGPIN-2019-06538,2019,Université du Québec à Montréal,20000.0,,Discovery Research,Risk measurement and stochastic control in actuarial mathematics,"Health, education and social services",Statistics and probability
RGPIN-2019-04610,2019,University of Waterloo,20000.0,,Discovery Research,Robust and nonparametric methods for complex data objects,Information and communication services,Statistics and probability
545270-2019,2019,First Nations University of Canada,20000.0,,Research Training and Talent Development,SCI-Y: Science Camp for Indigenous Youth at the First Nations University of Canada,"Health, education and social services",Behaviour
543521-2019,2019,University of Alberta,20000.0,,Research Partnerships,Simulation of Hydraulic Fracturing Fluid-Flow Dynamics Using High-Pressure Microfluidic Devices With Different Chemistries,Energy resources,Fuel and energy technology
RGPIN-2019-06114,2019,Carleton University,20000.0,,Discovery Research,Simulation-based multiple inference problems: theory and application,Manufacturing processes and products,Statistics and probability
RGPIN-2019-05002,2019,University of Guelph,20000.0,,Discovery Research,Statistical methods for genetic and bioinformatic studies,"Health, education and social services",Statistics and probability
RGPIN-2019-04287,2019,Dalhousie University,20000.0,,Discovery Research,Statistical Methods for Molecular Evolution,Environment,Statistics and probability
305483-2019,2019,University of Manitoba,20000.0,,Discovery Research,The ecology of focal forage fish and its influence on marine predators,Environment,Evolution and ecology
RGPIN-2019-04725,2019,Queen's University,20000.0,,Discovery Research,Uncertainty Quantification for Complex Computer Models,Information and communication services,Statistics and probability
331332-2019,2019,University of Toronto,20000.0,,Discovery Research,Understanding the Air We Breathe: Atmospheric Composition in Urban and Arctic Environments,Environment,Atmospheric science
408458-2019,2019,Queen's University,20000.0,,Discovery Research,Water quality impacts of mobilization of permafrost carbon & nitrogen in High Arctic watersheds,Northern development,Earth science
545431-2019,2019,Eya Environmental Youth Alliance Society,20000.0,,Research Training and Talent Development,Wild Minds and Nature Stewards: Integrating natural science and Indigenous knowledge,Northern development,Geographical information
545400-2019,2019,North Island College,20500.0,,Research Training and Talent Development,NICBotCamp,Information and communication services,Software and development
548826-2019,2019,University of British Columbia,20952.0,,Research Partnerships,Next generation of non-destructive testing of composites using advanced ultrasound imaging,Manufacturing processes and products,Design and manufacturing
RGPIN-2019-04799,2019,University of Alberta,21000.0,,Discovery Research,Affine and double affine quantum algebras,Manufacturing processes and products,Pure mathematics
RGPIN-2019-05450,2019,Université de Montréal,21000.0,,Discovery Research,Algebraic methods for lattice models of statistical physics,Transportation systems and services,Pure mathematics
534835-2019,2019,University of Toronto,35000.0,,Research Training and Talent Development,Asymmetric Synthesis via Nickel Catalysis,Natural resources (economic aspects),Organic chemistry
535779-2019,2019,University of Ontario Institute of Technology,35000.0,,Research Training and Talent Development,Atom Efficient Dual Electrochromic-Electroluminescent Devices for Green Technologies,Energy resources,Inorganic chemistry
534923-2019,2019,University of Saskatchewan,35000.0,,Research Training and Talent Development,Augmenting cross-education by using fatigue to alter GABA and increase functional connectivity,"Health, education and social services",Animal biology
535242-2019,2019,Université Laval,35000.0,,Research Training and Talent Development,Automatisation partielle du processus de conception optique par l'exploitation d'avancées récentes en intelligence artificielle,Information and communication services,Information technology
535620-2019,2019,University of Guelph,35000.0,,Research Training and Talent Development,Aversion produced by cannabinoid 1 (CB1) receptor agonism,"Health, education and social services",Psychology
534459-2019,2019,University of Toronto,35000.0,,Research Training and Talent Development,Aziridine Aldehydes: Novel Reaction Discovery through Amphoterism,Manufacturing processes and products,Organic chemistry
534412-2019,2019,Université du Québec à Montréal,35000.0,,Research Training and Talent Development,Band gap tunability and photoelectrochemistry of lead halide perovskites,Manufacturing processes and products,Materials science and technology
534615-2019,2019,University of Toronto,35000.0,,Research Training and Talent Development,Battery-Enabled Electric Vehicle Fast-Charging Station,Energy resources,Electrical and electronic engineering
535682-2019,2019,Simon Fraser University,35000.0,,Research Training and Talent Development,Bayesian factor analysis for high-dimensional correlated exposure variables with application to environmental epidemiology,Environment,Statistics and probability
534178-2019,2019,McGill University,35000.0,,Research Training and Talent Development,Bayesian Inference for Dynamic Treatment Regimes,"Health, education and social services",Statistics and probability
534741-2019,2019,University of Waterloo,35000.0,,Research Training and Talent Development,Bioaccessibility to Refine the Characterization of Mercury Exposure from Fish Consumption,Environment,Evolution and ecology
535482-2019,2019,University of British Columbia,35000.0,,Research Training and Talent Development,Biodegradation of Naphthenic Acids Contamination in Oil Sands Process-affected Water Using Engineered Strain,Environment,Chemical engineering
534568-2019,2019,University of Alberta,35000.0,,Research Training and Talent Development,Bioenergetically mediated parasite-host interactions,Agriculture and primary food production,Evolution and ecology
535169-2019,2019,Memorial University of Newfoundland,35000.0,,Research Training and Talent Development,Biogeochemical Cycling and Biosignatures at Sites of Serpentinization,Environment,Earth science
535341-2019,2019,University of Ottawa,35000.0,,Research Training and Talent Development,Broadening our understanding and uses of extracellular vesicles through bio-orthogonal chemistry and genetic code expansion,"Health, education and social services",Biochemistry
534279-2019,2019,McMaster University,35000.0,,Research Training and Talent Development,Building a Design Curve for Cellulose Nanocrystal Reinforced Biocomposites  for Up-Scaled Manufacturing,Manufacturing processes and products,Material science and technology
535624-2019,2019,University of Guelph,35000.0,,Research Training and Talent Development,Building neutron stars from scratch,The socioeconomic objective available,Physics
535655-2019,2019,University of Guelph,35000.0,,Research Training and Talent Development,Canine Distemper Virus: Viral strains circulating in Ontario wildlife and the impact of different surveillance strategies on our interpretation of the epidemiology of disease,Agriculture and primary food production,Animal biology
532477-2019,2019,University of Victoria,35000.0,,Research Training and Talent Development,Caractérisation de l'écologie fonctionnelle des latrines,Environment,Civil engineering
535199-2019,2019,Université de Montréal,35000.0,,Research Training and Talent Development,Caractérisation de nouvelles origines de réplication chez l'organisme modèle Escherichia coli,Environment,Microbiology
