Unique_ID,CompetitionFY,Institution,Total_Amount,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
546599-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,FirST EMpower - A one-day event aimed at inspiring students from inner city schools to consider a career in STEM,"Health, education and social services",Electrical and electronic engineering
537590-2019,2019,FIRST Technology Association Inc.,1000.0,,Research Training and Talent Development,First LEGO League World Festival Robotics Competition,Information and communication services,Robotics
543514-2019,2019,Carleton University,1000.0,,Research Training and Talent Development,Five-day freshwater science canoe-camping journey in the Poisson Blanc Regional Park,Northern development,Analytical chemistry
539937-2019,2019,McGill University,1000.0,,Research Training and Talent Development,Fostering a deeper understanding of the diverse ways rivers contribute to wellbeing,Environment,Hydrology
548441-2019,2019,Fraser Valley,1000.0,,Research Training and Talent Development,Fraser Valley Regional Science Fair,Environment,Soil science
536715-2019,2019,"Frontenac, Lennox and Addington Science Fair",1000.0,,Research Training and Talent Development,"Frontenac, Lennox and Addington Science Fair",Manufacturing processes and products,Particle physics
548802-2019,2019,"Frontenac, Lennox and Addington Science Fair",1000.0,,Research Training and Talent Development,"Frontenac, Lennox and Addington Science Fair",The socioeconomic objective available,Particle physics
539936-2019,2019,University of Ottawa,1000.0,,Research Training and Talent Development,General Chemistry,The socioeconomic objective available,Inorganic chemistry
544446-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,Geological Sciences,Natural resources (economic aspects),Earth science
549143-2019,2019,Queen's University,1000.0,,Research Training and Talent Development,"Girls In Research, Leadership & Science (""""GIRLS"""") Summer Camp",Environment,Evolution and ecology
538340-2019,2019,Dalhousie University,1000.0,,Research Training and Talent Development,Halifax's Second Annual Soapbox Science Event,Northern development,Plant and treebiology
548799-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,Hands-On STEM Programming for Youth during Women's Pamper Night,"Health, education and social services",Behavioural neuroscience
544557-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,Human Body and Health,The socioeconomic objective available,The available search field
538208-2019,2019,Ryerson University,1000.0,,Research Training and Talent Development,Indigenous STEM Outreach - Neuroscience,The socioeconomic objective available,Neurophysiology
530934-2019,2019,University of Calgary,1000.0,,Research Training and Talent Development,Inspire Indigenous youths to pursue further study and careers in STEM,"Health, education and social services",Material science and technology
538197-2019,2019,McMaster University,1000.0,,Research Training and Talent Development,Interactive Polymerase Chain Reaction Workshop: a Primer on Biomedical Science,"Health, education and social services",Molecular biology
545462-2019,2019,Mount Allison University,1000.0,,Research Training and Talent Development,''Journée(s) Science'' i.e. Science Demonstrations for Francophone Schoolkids,"Health, education and social services",Plant and treebiology
548400-2019,2019,Praxis Society,1000.0,,Research Training and Talent Development,Kiwanis Regional Science Fair,Environment,Animal biology
546414-2019,2019,Lambton County Science Fair,1000.0,,Research Training and Talent Development,Lambton County Science Fair,The socioeconomic objective available,Biophysics
547645-2019,2019,Southern Alberta Technology Council,1000.0,,Research Training and Talent Development,Lethbridge Regional Science Fair and Science Olympics,Environment,Astronomy and astrophysics
548622-2019,2019,École de technologie supérieure,1000.0,,Research Training and Talent Development,L'impact des Énergies renouvelables dans la sauvegarde de l'environnement et dans notre vie,Energy resources,Geotechnical engineering
537603-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,Living Canadian Scientist Role Models,"Health, education and social services",Earth science
538807-2019,2019,Cégep de la Gaspésie et des Îles,1000.0,,Research Partnerships,Maillage Merinov - Génidrone,The socioeconomic objective available,Genetics
537393-2019,2019,Manitoba Schools Science Symposium,1000.0,,Research Training and Talent Development,Manitoba Schools Science Symposium,The socioeconomic objective available,Plant ecology
538067-2019,2019,University of Winnipeg,1000.0,,Research Training and Talent Development,Motivating mathematics for elementary students through fun and accessible activities,Information and communication services,Kinesiology
548627-2019,2019,Mount Allison University,1000.0,,Research Training and Talent Development,Mount Allison Hackathon,The socioeconomic objective available,Software and development
548621-2019,2019,North Bay Regional Science Fair,1000.0,,Research Training and Talent Development,North Bay Regional Science Fair,Environment,Psychology
547642-2019,2019,Northern BC Regional Science Fair,1000.0,,Research Training and Talent Development,Northern BC Regional Science Fair,The socioeconomic objective available,Evolution and ecology
548867-2019,2019,Science East Association Inc.,1000.0,,Research Training and Talent Development,North-West New Brunswick Regional Science Fair,Agriculture and primary food production,Plant ecology
537134-2019,2019,Northwestern Ontario Regional Science Fair,1000.0,,Research Training and Talent Development,Northwestern Ontario Regional Science Fair,Environment,Terrestrial ecology
549013-2019,2019,Northwestern Ontario Regional Science Fair,1000.0,,Research Training and Talent Development,Northwestern Ontario Regional Science Fair,"Health, education and social services",Plant ecology
549360-2019,2019,Memorial University of Newfoundland,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Information technology
549351-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Chemical engineering
549358-2019,2019,University of Waterloo,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Industrial engineering
549354-2019,2019,University of Waterloo,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Information technology
549365-2019,2019,McMaster University,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Environmental engineering
549350-2019,2019,Université de Sherbrooke,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Biomedical engineering
549353-2019,2019,York University,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Chemical engineering
549361-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Civil engineering
549352-2019,2019,Dalhousie University,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Genetics
549359-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Environmental engineering
549357-2019,2019,Queen's University,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,"Water quality, pollution"
549355-2019,2019,University of Prince Edward Island,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Materials science and technology
549363-2019,2019,University of Waterloo,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Electrical and electronic engineering
549356-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Software engineering
549362-2019,2019,University of Manitoba,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Environment,Civil engineering
549364-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Communications systems
549349-2019,2019,University of Alberta,1000.0,,Research Training and Talent Development,NSERC-NSF workshops on integrating consideration of diversity in NSE research,Information and communication services,Environmental engineering
545279-2019,2019,University of Ontario Institute of Technology,1000.0,,Research Training and Talent Development,One day science day camp for the female youth,Northern development,"Modelling, simulation and finite element methods"
537135-2019,2019,Ottawa Regional Science Fair,1000.0,,Research Training and Talent Development,Ottawa Regional Science Fair,"Health, education and social services",Organic chemistry
548409-2019,2019,Ottawa Regional Science Fair,1000.0,,Research Training and Talent Development,Ottawa Regional Science Fair 2020,Transportation systems and services,Design and manufacturing
537956-2019,2019,Peterborough Regional Science Fair,1000.0,,Research Training and Talent Development,Peterborough Regional Science Fair,Manufacturing processes and products,Plant and treebiology
547641-2019,2019,Peterborough Regional Science Fair,1000.0,,Research Training and Talent Development,Peterborough Regional Science Fair (2020),"Construction, urban and rural planning",The available search field
548438-2019,2019,Prairie Valley School Division,1000.0,,Research Training and Talent Development,Prairie Valley Regional Science Fair,Transportation systems and services,Hydrology
544438-2019,2019,École Polytechnique de Montréal,1000.0,,Research Training and Talent Development,Promotion du génie chez les jeunes,The socioeconomic objective available,The available search field
548608-2019,2019,Qikiqtaalummi Science Fair,1000.0,,Research Training and Talent Development,Qikiqtaluk Regional Science Fair,The socioeconomic objective available,Plant ecology
546306-2019,2019,Quinte Regional Science and Technology Fair,1000.0,,Research Training and Talent Development,Quinte Regional Science and Technology Fair,"Construction, urban and rural planning",Design and manufacturing
548606-2019,2019,Regina Regional Science Fair,1000.0,,Research Training and Talent Development,Regina Regional Science Fair,The socioeconomic objective available,Plant ecology
546369-2019,2019,Northern Vancouver Island Regional Science Fair Society,1000.0,,Research Training and Talent Development,Regional Science Fair - Northern Vancouver Island,"Health, education and social services",Plant ecology
546419-2019,2019,Renfrew County Regional Science Fair,1000.0,,Research Training and Talent Development,Renfrew County Regional Science Fair,Environment,Plant ecology
548459-2019,2019,Rotary Club of Sault Ste. Marie,1000.0,,Research Training and Talent Development,Rotary Science Fair Algoma,"Construction, urban and rural planning",Fluid mechanics
548436-2019,2019,Saskatoon Regional Science Fair,1000.0,,Research Training and Talent Development,Saskatoon Regional Science Fair,Environment,Geophysics
538203-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,Science Chase in Space!,The socioeconomic objective available,The available search field
543515-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,Science Communication,The socioeconomic objective available,Geophysics
548906-2019,2019,University of Waterloo,1000.0,,Research Training and Talent Development,Science Fair - Science on a Budget,The socioeconomic objective available,"Modelling, simulation and finite element methods"
544653-2019,2019,St. Lawrence College,1000.0,,Research Training and Talent Development,Science in everyday life,The socioeconomic objective available,The available search field
543516-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,Science is everywhere - including food,The socioeconomic objective available,Food science and technology
535864-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,Science Rendezvous at the Toronto Zoo,Environment,Animal ecology
538200-2019,2019,University of Toronto,1000.0,,Research Training and Talent Development,Science research poster presentation,The socioeconomic objective available,The available search field
548932-2019,2019,Simcoe County Regional Science & Technology Fair,1000.0,,Research Training and Talent Development,Simcoe County Regional Science and Technology Fair,Information and communication services,The available search field
541421-2019,2019,University of Ottawa,1000.0,,Research Training and Talent Development,Soapbox Science Ottawa 2019,Manufacturing processes and products,Behaviour
548821-2019,2019,South East Regional Science Fair Inc,1000.0,,Research Training and Talent Development,South East Regional Science Festival,The socioeconomic objective available,Other studies in natural sciences and engineering
548410-2019,2019,South Fraser Regional Science Fair,1000.0,,Research Training and Talent Development,South Fraser Regional Science Fair 2020,Environment,Physics
538125-2019,2019,South Shore Regional Science Fair,1000.0,,Research Training and Talent Development,South Shore Regional Science Fair,Environment,Oceanography
549198-2019,2019,South Shore Regional Science Fair,1000.0,,Research Training and Talent Development,South Shore Regional Science Fair,Environment,Geophysics
548647-2019,2019,South Slave Divisional Education Council,1000.0,,Research Training and Talent Development,South Slave Regional Science Fair,The socioeconomic objective available,Animal ecology
539146-2019,2019,Southern Alberta Technology Council,1000.0,,Research Training and Talent Development,Southern Alberta Technology Council,The socioeconomic objective available,Astronomy and astrophysics
544760-2019,2019,Halifax Regional Centre for Education,1000.0,,Research Training and Talent Development,Student Spaceflight Experiment Program (School-based),The socioeconomic objective available,"Aerospace, aeronautical and automotive engineering"
537955-2019,2019,Réseau Technoscience,1000.0,,Research Training and Talent Development,"Super Expo-sciences Hydro-Quebec, finale quebecoise 2019",Environment,Hydrology
544759-2019,2019,St. Francis Xavier University,1000.0,,Research Training and Talent Development,Teaching It Forward Nova Scotia,"Health, education and social services",Psychology
548454-2019,2019,Thames Valley Science and Engineering Fair,1000.0,,Research Training and Talent Development,Thames Valley Science & Engineering Fair,"Construction, urban and rural planning",The available search field
538636-2019,2019,McGill University,1000.0,,Research Training and Talent Development,The Asokan Project: An Art-Science Indigenous Outreach Summer Camp,Information and communication services,Plant ecology
548628-2019,2019,St. Francis Xavier University,1000.0,,Research Training and Talent Development,The Science of Forensic Psychology Information Seminar and Workshop,Information and communication services,Kinesiology
535862-2019,2019,University of Saskatchewan,1000.0,,Research Training and Talent Development,Tope Talks,Information and communication services,Information technology
548398-2019,2019,Toronto Science Fair,1000.0,,Research Training and Talent Development,Toronto Science Fair 2020,"Construction, urban and rural planning","Modelling, simulation and finite element methods"
544905-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,UBC Young Women for STEM,"Health, education and social services",Animal biology
548907-2019,2019,United Counties Science Fair,1000.0,,Research Training and Talent Development,United Counties Science Fair,The socioeconomic objective available,The available search field
548908-2019,2019,Society for the  Advancement of Young Scientists,1000.0,,Research Training and Talent Development,Vancouver Island Regional Science Fair 2020,Environment,Organic chemistry
546598-2019,2019,Waterloo-Wellington Science and Engineering Fair,1000.0,,Research Training and Talent Development,Waterloo-Wellington Science and Engineering Fair,"Construction, urban and rural planning",Construction engineering and management
548931-2019,2019,Western Manitoba Science Fair,1000.0,,Research Training and Talent Development,Western Manitoba Science Fair 2020,Environment,Soil science
543270-2019,2019,University of Victoria,1000.0,,Research Training and Talent Development,"Women in Engineering and Computer Science Day - Building Tours, Group Activity and Mentor Panel","Construction, urban and rural planning",Construction engineering and management
546951-2019,2019,University of British Columbia,1000.0,,Research Training and Talent Development,"Women in Science, Technology, Engineering, and Mathematics (STEM) conference",The socioeconomic objective available,Materials science and technology
538718-2019,2019,University of Alberta,1000.0,,Research Training and Talent Development,Women in technology,The socioeconomic objective available,The available search field
545126-2019,2019,McGill University,1000.0,,Research Training and Talent Development,Workshop that does STEM experiments with elementary children,"Health, education and social services",Condensed matterphysics
546411-2019,2019,University of Western Ontario,1000.0,,Research Training and Talent Development,Youth Involvement in Science Fairs,Manufacturing processes and products,Design and manufacturing
542640-2019,2019,University of Ottawa,1000.0,,Research Training and Talent Development,Youth science Workshops/Undergraduate educational experience,The socioeconomic objective available,Neurophysiology
548406-2019,2019,Yukon Stikine Regional Science Fair Society,1000.0,,Research Training and Talent Development,Yukon Stikine Regional Science Fair 2020,"Health, education and social services",Plant ecology
538808-2019,2019,Cégep de Baie-Comeau,1060.0,,Research Partnerships,Rencontre avec l'entreprise apicole le petit jardin de l'abeille,Agriculture and primary food production,The available search field
549097-2019,2019,Cégep de Saint-Laurent,1100.0,,Research Partnerships,Développement et optimisation d'une technologie électrochimique innovante pour la dephosphatation et la réduction de la toxicité des effluents de pâtes et papiers,Environment,Environmental engineering
